	11809.A11.old	11809.A17.old	11809.A24.new	11809.A3.old	11809.A9.old	11809.B1004	11809.B1005	11809.B1006	11809.B1016	11809.B1017	11809.B1018	11809.B1019	11809.B1020	11809.B1021	11809.B1022	11809.B1023	11809.B1024	11809.B1025	11809.B1026	11809.B1027	11809.B1028	11809.B1029	11809.B1030	11809.B1031	11809.B1032	11809.B1033	11809.B1034	11809.B1035	11809.B1036	11809.B1037	11809.B1038	11809.B1039	11809.B1040	11809.B1041	11809.B1042	11809.B1043	11809.B1044	11809.B1045	11809.B1046	11809.B1047	11809.B1048	11809.B1049	11809.B1050	11809.B1051	11809.B1052	11809.B1053	11809.B1054	11809.B1055	11809.B1056	11809.B1057	11809.B1058	11809.B1059	11809.B1060	11809.B1061	11809.B1062	11809.B1063	11809.B1064	11809.B1065	11809.B1066	11809.B1067	11809.B1068	11809.B1069	11809.B1070	11809.B1071	11809.B1072	11809.B1073	11809.B1074	11809.B1075	11809.B1076	11809.B1077	11809.B1078	11809.B1079	11809.B1080	11809.B1081	11809.B1082	11809.B1083	11809.B1084	11809.B1085	11809.B1086	11809.B721	11809.B723	11809.B725	11809.B727	11809.B729	11809.B731	11809.B733	11809.B735	11809.B737	11809.B739	11809.B741	11809.B743	11809.B745	11809.B747	11809.B749	11809.B751	11809.B753	11809.B755	11809.B757	11809.B759	11809.B761	11809.B763	11809.B765	11809.B767	11809.B769	11809.B771	11809.B773	11809.B775	11809.B777	11809.B779	11809.B781	11809.B783	11809.B785	11809.B787	11809.B789	11809.C1.new	11809.C4.old	11809.N5.old
k__Eukaryota;p__Euglenozoa;c__Kinetoplastea;o__Trypanosomatida;f__Trypanosomatidae;g__Leishmania;s__Leishmania braziliensis	0	1	0	2	0	1	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	2	1	0	1	1	0	2	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	1	3	0	0	2	0	0	0	0	1
k__Eukaryota;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus niger	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota;p__Euglenozoa;c__Kinetoplastea;o__Trypanosomatida;f__Trypanosomatidae;g__Leishmania;s__Leishmania infantum	0	0	0	0	0	13	69	28	4	0	0	0	0	1	0	1	3	1	2	0	0	1	0	1	1	1	0	0	1	0	1	0	0	2	2	0	0	0	0	0	0	7	4	2	0	1	0	1	0	0	0	1	0	4	0	2	2	0	2	3	1	1	0	1	0	2	18	2	0	2	0	0	1	4	2	0	0	1	0	10	24	24	60	19	0	21	5	14	3	14	0	69	5	1	34	5	9	0	36	17	0	2	0	4	5	1	3	1	12	0	0	63	5	3	0	0	0
k__Eukaryota;p__Ascomycota;c__Schizosaccharomycetes;o__Schizosaccharomycetales;f__Schizosaccharomycetaceae;g__Schizosaccharomyces;s__Schizosaccharomyces pombe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
k__Eukaryota;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Talaromyces;s__Talaromyces stipitatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota;p__Ascomycota;c__Eurotiomycetes;o__Onygenales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
k__Eukaryota;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Metschnikowiaceae;g__Clavispora;s__Clavispora lusitaniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
k__Eukaryota;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Ajellomycetaceae;g__Blastomyces;s__Blastomyces gilchristii	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota;p__Evosea;c__Eumycetozoa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
k__Eukaryota;p__Evosea;c__Eumycetozoa;o__Dictyosteliales;f__Dictyosteliaceae;g__Dictyostelium;s__Dictyostelium discoideum	9	36	1	0	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	2	13	2	4	0	6	6	15	0	4	0	4	2	0	5	0	0	0	0	0	0	2	0	0	0	0	0	1	8	0	0	0	0	0	0	30	7
